seed,panel,condition,capped_v1,hierarchy_v1,hierarchy,success
0,A,equal_type_sizes,1.0,0.9,0.6666666666666666,True
0,B,reference_hierarchy,1.0,1.0,1.0,True
0,C,smaller_cta_shortcut,1.0,1.0,1.0,True
0,D,intermediate_hierarchy,1.0,0.95,0.8333333333333334,True
0,E,large_headline,1.0,1.0,1.0,True
0,F,competing_decorative_text,1.0,1.0,1.0,True
1,A,equal_type_sizes,1.0,0.9,0.6666666666666666,True
1,B,reference_hierarchy,1.0,1.0,1.0,True
1,C,smaller_cta_shortcut,1.0,1.0,1.0,True
1,D,intermediate_hierarchy,1.0,0.95,0.8333333333333334,True
1,E,large_headline,1.0,1.0,1.0,True
1,F,competing_decorative_text,1.0,1.0,1.0,True
2,A,equal_type_sizes,1.0,0.9,0.6666666666666666,True
2,B,reference_hierarchy,1.0,1.0,1.0,True
2,C,smaller_cta_shortcut,1.0,1.0,1.0,True
2,D,intermediate_hierarchy,1.0,0.95,0.8333333333333334,True
2,E,large_headline,1.0,1.0,1.0,True
2,F,competing_decorative_text,1.0,1.0,1.0,True
3,A,equal_type_sizes,1.0,0.9,0.6666666666666666,True
3,B,reference_hierarchy,1.0,1.0,1.0,True
3,C,smaller_cta_shortcut,1.0,1.0,1.0,True
3,D,intermediate_hierarchy,1.0,0.95,0.8333333333333334,True
3,E,large_headline,1.0,1.0,1.0,True
3,F,competing_decorative_text,1.0,1.0,1.0,True
4,A,equal_type_sizes,1.0,0.9,0.6666666666666666,True
4,B,reference_hierarchy,1.0,1.0,1.0,True
4,C,smaller_cta_shortcut,1.0,1.0,1.0,True
4,D,intermediate_hierarchy,1.0,0.95,0.8333333333333334,True
4,E,large_headline,1.0,1.0,1.0,True
4,F,competing_decorative_text,1.0,1.0,1.0,True
5,A,equal_type_sizes,1.0,0.9,0.6666666666666666,True
5,B,reference_hierarchy,1.0,1.0,1.0,True
5,C,smaller_cta_shortcut,1.0,1.0,1.0,True
5,D,intermediate_hierarchy,1.0,0.95,0.8333333333333334,True
5,E,large_headline,1.0,1.0,1.0,True
5,F,competing_decorative_text,1.0,1.0,1.0,True
6,A,equal_type_sizes,1.0,0.9,0.6666666666666666,True
6,B,reference_hierarchy,1.0,1.0,1.0,True
6,C,smaller_cta_shortcut,1.0,1.0,1.0,True
6,D,intermediate_hierarchy,1.0,0.95,0.8333333333333334,True
6,E,large_headline,1.0,1.0,1.0,True
6,F,competing_decorative_text,1.0,1.0,1.0,True
7,A,equal_type_sizes,1.0,0.9,0.6666666666666666,True
7,B,reference_hierarchy,1.0,1.0,1.0,True
7,C,smaller_cta_shortcut,1.0,1.0,1.0,True
7,D,intermediate_hierarchy,1.0,0.95,0.8333333333333334,True
7,E,large_headline,1.0,1.0,1.0,True
7,F,competing_decorative_text,1.0,1.0,1.0,True
8,A,equal_type_sizes,1.0,0.9,0.6666666666666666,True
8,B,reference_hierarchy,1.0,1.0,1.0,True
8,C,smaller_cta_shortcut,1.0,1.0,1.0,True
8,D,intermediate_hierarchy,1.0,0.95,0.8333333333333334,True
8,E,large_headline,1.0,1.0,1.0,True
8,F,competing_decorative_text,1.0,1.0,1.0,True
9,A,equal_type_sizes,1.0,0.9,0.6666666666666666,True
9,B,reference_hierarchy,1.0,1.0,1.0,True
9,C,smaller_cta_shortcut,1.0,1.0,1.0,True
9,D,intermediate_hierarchy,1.0,0.95,0.8333333333333334,True
9,E,large_headline,1.0,1.0,1.0,True
9,F,competing_decorative_text,1.0,1.0,1.0,True
10,A,equal_type_sizes,1.0,0.9,0.6666666666666666,True
10,B,reference_hierarchy,1.0,1.0,1.0,True
10,C,smaller_cta_shortcut,1.0,1.0,1.0,True
10,D,intermediate_hierarchy,1.0,0.95,0.8333333333333334,True
10,E,large_headline,1.0,1.0,1.0,True
10,F,competing_decorative_text,1.0,1.0,1.0,True
11,A,equal_type_sizes,1.0,0.9,0.6666666666666666,True
11,B,reference_hierarchy,1.0,1.0,1.0,True
11,C,smaller_cta_shortcut,1.0,1.0,1.0,True
11,D,intermediate_hierarchy,1.0,0.95,0.8333333333333334,True
11,E,large_headline,1.0,1.0,1.0,True
11,F,competing_decorative_text,1.0,1.0,1.0,True
