seed,panel,weight,target_ratio,score
0,A,0.05,1.25,0.98
0,A,0.05,1.5,0.966667
0,A,0.05,2.0,0.95
0,A,0.15,1.25,0.94
0,A,0.15,1.5,0.9
0,A,0.15,2.0,0.85
0,A,0.3,1.25,0.88
0,A,0.3,1.5,0.8
0,A,0.3,2.0,0.7
0,B,0.05,1.25,1.0
0,B,0.05,1.5,1.0
0,B,0.05,2.0,0.975
0,B,0.15,1.25,1.0
0,B,0.15,1.5,1.0
0,B,0.15,2.0,0.925
0,B,0.3,1.25,1.0
0,B,0.3,1.5,1.0
0,B,0.3,2.0,0.85
0,C,0.05,1.25,1.0
0,C,0.05,1.5,1.0
0,C,0.05,2.0,0.9875
0,C,0.15,1.25,1.0
0,C,0.15,1.5,1.0
0,C,0.15,2.0,0.9625
0,C,0.3,1.25,1.0
0,C,0.3,1.5,1.0
0,C,0.3,2.0,0.925
0,D,0.05,1.25,1.0
0,D,0.05,1.5,0.983333
0,D,0.05,2.0,0.9625
0,D,0.15,1.25,1.0
0,D,0.15,1.5,0.95
0,D,0.15,2.0,0.8875
0,D,0.3,1.25,1.0
0,D,0.3,1.5,0.9
0,D,0.3,2.0,0.775
0,E,0.05,1.25,1.0
0,E,0.05,1.5,1.0
0,E,0.05,2.0,1.0
0,E,0.15,1.25,1.0
0,E,0.15,1.5,1.0
0,E,0.15,2.0,1.0
0,E,0.3,1.25,1.0
0,E,0.3,1.5,1.0
0,E,0.3,2.0,1.0
0,F,0.05,1.25,1.0
0,F,0.05,1.5,1.0
0,F,0.05,2.0,0.975
0,F,0.15,1.25,1.0
0,F,0.15,1.5,1.0
0,F,0.15,2.0,0.925
0,F,0.3,1.25,1.0
0,F,0.3,1.5,1.0
0,F,0.3,2.0,0.85
1,A,0.05,1.25,0.98
1,A,0.05,1.5,0.966667
1,A,0.05,2.0,0.95
1,A,0.15,1.25,0.94
1,A,0.15,1.5,0.9
1,A,0.15,2.0,0.85
1,A,0.3,1.25,0.88
1,A,0.3,1.5,0.8
1,A,0.3,2.0,0.7
1,B,0.05,1.25,1.0
1,B,0.05,1.5,1.0
1,B,0.05,2.0,0.975
1,B,0.15,1.25,1.0
1,B,0.15,1.5,1.0
1,B,0.15,2.0,0.925
1,B,0.3,1.25,1.0
1,B,0.3,1.5,1.0
1,B,0.3,2.0,0.85
1,C,0.05,1.25,1.0
1,C,0.05,1.5,1.0
1,C,0.05,2.0,0.9875
1,C,0.15,1.25,1.0
1,C,0.15,1.5,1.0
1,C,0.15,2.0,0.9625
1,C,0.3,1.25,1.0
1,C,0.3,1.5,1.0
1,C,0.3,2.0,0.925
1,D,0.05,1.25,1.0
1,D,0.05,1.5,0.983333
1,D,0.05,2.0,0.9625
1,D,0.15,1.25,1.0
1,D,0.15,1.5,0.95
1,D,0.15,2.0,0.8875
1,D,0.3,1.25,1.0
1,D,0.3,1.5,0.9
1,D,0.3,2.0,0.775
1,E,0.05,1.25,1.0
1,E,0.05,1.5,1.0
1,E,0.05,2.0,1.0
1,E,0.15,1.25,1.0
1,E,0.15,1.5,1.0
1,E,0.15,2.0,1.0
1,E,0.3,1.25,1.0
1,E,0.3,1.5,1.0
1,E,0.3,2.0,1.0
1,F,0.05,1.25,1.0
1,F,0.05,1.5,1.0
1,F,0.05,2.0,0.975
1,F,0.15,1.25,1.0
1,F,0.15,1.5,1.0
1,F,0.15,2.0,0.925
1,F,0.3,1.25,1.0
1,F,0.3,1.5,1.0
1,F,0.3,2.0,0.85
2,A,0.05,1.25,0.98
2,A,0.05,1.5,0.966667
2,A,0.05,2.0,0.95
2,A,0.15,1.25,0.94
2,A,0.15,1.5,0.9
2,A,0.15,2.0,0.85
2,A,0.3,1.25,0.88
2,A,0.3,1.5,0.8
2,A,0.3,2.0,0.7
2,B,0.05,1.25,1.0
2,B,0.05,1.5,1.0
2,B,0.05,2.0,0.975
2,B,0.15,1.25,1.0
2,B,0.15,1.5,1.0
2,B,0.15,2.0,0.925
2,B,0.3,1.25,1.0
2,B,0.3,1.5,1.0
2,B,0.3,2.0,0.85
2,C,0.05,1.25,1.0
2,C,0.05,1.5,1.0
2,C,0.05,2.0,0.9875
2,C,0.15,1.25,1.0
2,C,0.15,1.5,1.0
2,C,0.15,2.0,0.9625
2,C,0.3,1.25,1.0
2,C,0.3,1.5,1.0
2,C,0.3,2.0,0.925
2,D,0.05,1.25,1.0
2,D,0.05,1.5,0.983333
2,D,0.05,2.0,0.9625
2,D,0.15,1.25,1.0
2,D,0.15,1.5,0.95
2,D,0.15,2.0,0.8875
2,D,0.3,1.25,1.0
2,D,0.3,1.5,0.9
2,D,0.3,2.0,0.775
2,E,0.05,1.25,1.0
2,E,0.05,1.5,1.0
2,E,0.05,2.0,1.0
2,E,0.15,1.25,1.0
2,E,0.15,1.5,1.0
2,E,0.15,2.0,1.0
2,E,0.3,1.25,1.0
2,E,0.3,1.5,1.0
2,E,0.3,2.0,1.0
2,F,0.05,1.25,1.0
2,F,0.05,1.5,1.0
2,F,0.05,2.0,0.975
2,F,0.15,1.25,1.0
2,F,0.15,1.5,1.0
2,F,0.15,2.0,0.925
2,F,0.3,1.25,1.0
2,F,0.3,1.5,1.0
2,F,0.3,2.0,0.85
3,A,0.05,1.25,0.98
3,A,0.05,1.5,0.966667
3,A,0.05,2.0,0.95
3,A,0.15,1.25,0.94
3,A,0.15,1.5,0.9
3,A,0.15,2.0,0.85
3,A,0.3,1.25,0.88
3,A,0.3,1.5,0.8
3,A,0.3,2.0,0.7
3,B,0.05,1.25,1.0
3,B,0.05,1.5,1.0
3,B,0.05,2.0,0.975
3,B,0.15,1.25,1.0
3,B,0.15,1.5,1.0
3,B,0.15,2.0,0.925
3,B,0.3,1.25,1.0
3,B,0.3,1.5,1.0
3,B,0.3,2.0,0.85
3,C,0.05,1.25,1.0
3,C,0.05,1.5,1.0
3,C,0.05,2.0,0.9875
3,C,0.15,1.25,1.0
3,C,0.15,1.5,1.0
3,C,0.15,2.0,0.9625
3,C,0.3,1.25,1.0
3,C,0.3,1.5,1.0
3,C,0.3,2.0,0.925
3,D,0.05,1.25,1.0
3,D,0.05,1.5,0.983333
3,D,0.05,2.0,0.9625
3,D,0.15,1.25,1.0
3,D,0.15,1.5,0.95
3,D,0.15,2.0,0.8875
3,D,0.3,1.25,1.0
3,D,0.3,1.5,0.9
3,D,0.3,2.0,0.775
3,E,0.05,1.25,1.0
3,E,0.05,1.5,1.0
3,E,0.05,2.0,1.0
3,E,0.15,1.25,1.0
3,E,0.15,1.5,1.0
3,E,0.15,2.0,1.0
3,E,0.3,1.25,1.0
3,E,0.3,1.5,1.0
3,E,0.3,2.0,1.0
3,F,0.05,1.25,1.0
3,F,0.05,1.5,1.0
3,F,0.05,2.0,0.975
3,F,0.15,1.25,1.0
3,F,0.15,1.5,1.0
3,F,0.15,2.0,0.925
3,F,0.3,1.25,1.0
3,F,0.3,1.5,1.0
3,F,0.3,2.0,0.85
4,A,0.05,1.25,0.98
4,A,0.05,1.5,0.966667
4,A,0.05,2.0,0.95
4,A,0.15,1.25,0.94
4,A,0.15,1.5,0.9
4,A,0.15,2.0,0.85
4,A,0.3,1.25,0.88
4,A,0.3,1.5,0.8
4,A,0.3,2.0,0.7
4,B,0.05,1.25,1.0
4,B,0.05,1.5,1.0
4,B,0.05,2.0,0.975
4,B,0.15,1.25,1.0
4,B,0.15,1.5,1.0
4,B,0.15,2.0,0.925
4,B,0.3,1.25,1.0
4,B,0.3,1.5,1.0
4,B,0.3,2.0,0.85
4,C,0.05,1.25,1.0
4,C,0.05,1.5,1.0
4,C,0.05,2.0,0.9875
4,C,0.15,1.25,1.0
4,C,0.15,1.5,1.0
4,C,0.15,2.0,0.9625
4,C,0.3,1.25,1.0
4,C,0.3,1.5,1.0
4,C,0.3,2.0,0.925
4,D,0.05,1.25,1.0
4,D,0.05,1.5,0.983333
4,D,0.05,2.0,0.9625
4,D,0.15,1.25,1.0
4,D,0.15,1.5,0.95
4,D,0.15,2.0,0.8875
4,D,0.3,1.25,1.0
4,D,0.3,1.5,0.9
4,D,0.3,2.0,0.775
4,E,0.05,1.25,1.0
4,E,0.05,1.5,1.0
4,E,0.05,2.0,1.0
4,E,0.15,1.25,1.0
4,E,0.15,1.5,1.0
4,E,0.15,2.0,1.0
4,E,0.3,1.25,1.0
4,E,0.3,1.5,1.0
4,E,0.3,2.0,1.0
4,F,0.05,1.25,1.0
4,F,0.05,1.5,1.0
4,F,0.05,2.0,0.975
4,F,0.15,1.25,1.0
4,F,0.15,1.5,1.0
4,F,0.15,2.0,0.925
4,F,0.3,1.25,1.0
4,F,0.3,1.5,1.0
4,F,0.3,2.0,0.85
5,A,0.05,1.25,0.98
5,A,0.05,1.5,0.966667
