gray,hex,contrast_ratio,capped_v1,uncapped_v1,success,essential_constraints_pass,constraints,visibility,contrast,layout
0,#000000,19.555999999999997,1.0,1.0,True,True,1.0,1.0,1.0,1.0
1,#010101,19.438000844747478,1.0,1.0,True,True,1.0,1.0,1.0,1.0
2,#020202,19.321417141486233,1.0,1.0,True,True,1.0,1.0,1.0,1.0
3,#030303,19.20622357360043,1.0,1.0,True,True,1.0,1.0,1.0,1.0
4,#040404,19.09239542464292,1.0,1.0,True,True,1.0,1.0,1.0,1.0
5,#050505,18.979908560655158,1.0,1.0,True,True,1.0,1.0,1.0,1.0
6,#060606,18.868739413108415,1.0,1.0,True,True,1.0,1.0,1.0,1.0
7,#070707,18.758864962441038,1.0,1.0,True,True,1.0,1.0,1.0,1.0
8,#080808,18.650262722167543,1.0,1.0,True,True,1.0,1.0,1.0,1.0
9,#090909,18.542910723536522,1.0,1.0,True,True,1.0,1.0,1.0,1.0
10,#0A0A0A,18.43678750071539,1.0,1.0,True,True,1.0,1.0,1.0,1.0
11,#0B0B0B,18.32921268454136,1.0,1.0,True,True,1.0,1.0,1.0,1.0
12,#0C0C0C,18.21653547793224,1.0,1.0,True,True,1.0,1.0,1.0,1.0
13,#0D0D0D,18.099123030394274,1.0,1.0,True,True,1.0,1.0,1.0,1.0
14,#0E0E0E,17.977092781020065,1.0,1.0,True,True,1.0,1.0,1.0,1.0
15,#0F0F0F,17.85057287540878,1.0,1.0,True,True,1.0,1.0,1.0,1.0
16,#101010,17.719701422388855,1.0,1.0,True,True,1.0,1.0,1.0,1.0
17,#111111,17.584625724934273,1.0,1.0,True,True,1.0,1.0,1.0,1.0
18,#121212,17.44550148976781,1.0,1.0,True,True,1.0,1.0,1.0,1.0
19,#131313,17.30249202048872,1.0,1.0,True,True,1.0,1.0,1.0,1.0
20,#141414,17.155767399292657,1.0,1.0,True,True,1.0,1.0,1.0,1.0
21,#151515,17.005503662477604,1.0,1.0,True,True,1.0,1.0,1.0,1.0
22,#161616,16.851881974959397,1.0,1.0,True,True,1.0,1.0,1.0,1.0
23,#171717,16.695087808962274,1.0,1.0,True,True,1.0,1.0,1.0,1.0
24,#181818,16.535310131913516,1.0,1.0,True,True,1.0,1.0,1.0,1.0
25,#191919,16.372740608364172,1.0,1.0,True,True,1.0,1.0,1.0,1.0
26,#1A1A1A,16.207572820490775,1.0,1.0,True,True,1.0,1.0,1.0,1.0
27,#1B1B1B,16.04000151141382,1.0,1.0,True,True,1.0,1.0,1.0,1.0
28,#1C1C1C,15.870221855207916,1.0,1.0,True,True,1.0,1.0,1.0,1.0
