font_size,capped_v1,uncapped_v1,success,essential_constraints_pass,constraints,visibility,contrast,layout
8,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
9,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
10,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
11,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
12,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
13,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
14,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
15,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
16,1.0,1.0,True,True,1.0,1.0,1.0,1.0
17,1.0,1.0,True,True,1.0,1.0,1.0,1.0
18,1.0,1.0,True,True,1.0,1.0,1.0,1.0
19,1.0,1.0,True,True,1.0,1.0,1.0,1.0
20,1.0,1.0,True,True,1.0,1.0,1.0,1.0
21,1.0,1.0,True,True,1.0,1.0,1.0,1.0
22,1.0,1.0,True,True,1.0,1.0,1.0,1.0
23,1.0,1.0,True,True,1.0,1.0,1.0,1.0
24,1.0,1.0,True,True,1.0,1.0,1.0,1.0
