seed,case,capped_v1,uncapped_v1,success,essential_constraints_pass,constraints,visibility,contrast,layout
0,reference,1.0,1.0,True,True,1.0,1.0,1.0,1.0
0,low_contrast,-0.02,0.804219,False,False,1.0,1.0,0.5105484615609386,1.0
0,wrong_headline,-0.02,0.7,False,False,0.6666666666666666,1.0,1.0,1.0
0,tiny_headline,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
0,clipped_headline,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
0,missing_cta,-0.3,-0.3,False,False,0.3333333333333333,0.5,0.5,0.0
0,misaligned_cta,0.955,0.955,False,True,1.0,1.0,1.0,0.85
0,covered_headline,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
0,duplicate_cta,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
0,neutral_image_color,1.0,1.0,True,True,1.0,1.0,1.0,1.0
0,irrelevant_decoration,1.0,1.0,True,True,1.0,1.0,1.0,1.0
1,reference,1.0,1.0,True,True,1.0,1.0,1.0,1.0
1,low_contrast,-0.02,0.804219,False,False,1.0,1.0,0.5105484615609386,1.0
1,wrong_headline,-0.02,0.7,False,False,0.6666666666666666,1.0,1.0,1.0
1,tiny_headline,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
1,clipped_headline,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
1,missing_cta,-0.3,-0.3,False,False,0.3333333333333333,0.5,0.5,0.0
1,misaligned_cta,0.955,0.955,False,True,1.0,1.0,1.0,0.85
1,covered_headline,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
1,duplicate_cta,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
1,neutral_image_color,1.0,1.0,True,True,1.0,1.0,1.0,1.0
1,irrelevant_decoration,1.0,1.0,True,True,1.0,1.0,1.0,1.0
2,reference,1.0,1.0,True,True,1.0,1.0,1.0,1.0
2,low_contrast,-0.02,0.804219,False,False,1.0,1.0,0.5105484615609386,1.0
2,wrong_headline,-0.02,0.7,False,False,0.6666666666666666,1.0,1.0,1.0
2,tiny_headline,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
2,clipped_headline,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
2,missing_cta,-0.3,-0.3,False,False,0.3333333333333333,0.5,0.5,0.0
2,misaligned_cta,0.955,0.955,False,True,1.0,1.0,1.0,0.85
2,covered_headline,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
2,duplicate_cta,-0.02,0.8,False,False,1.0,0.5,1.0,1.0
2,neutral_image_color,1.0,1.0,True,True,1.0,1.0,1.0,1.0
2,irrelevant_decoration,1.0,1.0,True,True,1.0,1.0,1.0,1.0
3,reference,1.0,1.0,True,True,1.0,1.0,1.0,1.0
3,low_contrast,-0.02,0.804219,False,False,1.0,1.0,0.5105484615609386,1.0
